nmajor,major1,major2,BBRJ,Business Direct Admit,Combined Bacc and Masters,Dean's List,First Generation College Stdnt,FSB Scholars,Honors Program,President's List,Study Abroad Courtesy Account,Transfer Work (Pre-Banner),Cum Laude,Magna Cum Laude,Summa Cum Laude,University Honors,UniversityHonors w/Distinction,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,year.x,latin_honors,survey_city,survey_company,survey_deptfunc,survey_gradprogram,survey_gradschool,survey_internfour,survey_internone,survey_internships,survey_internthree,survey_interntwo,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,2.00 - 2.49,202015,2020,0,,,,,,,,,,,,seeking continuing education,,,,
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Legal Studies,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Toledo,BAM Nutual,Finance,,,,,0,,,0,accepted fulltime job,Yes,Yes,,Ohio
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Humanities,Humanities,Asian,Female,3.50 - 4.00,202120,2021,0,Columbus,CoHatch,General Management,,,,Second Time Founders,2,,La Soupe,1,accepted fulltime job,Yes,Yes,40000,OH
1,Finance,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Accountancy,Accountancy,White,Male,3.00 - 3.49,202020,2020,0,,PwC,,,,,Bauer Hockey,2,,IHS Markit,,accepted fulltime job,,,,
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,201920,2019,0,Columbus,Abercrombie & Fitch,General Management,,,,"Nouveau Vie, LLC.",2,,Abercrombie & Fitch,1,accepted fulltime job,Yes,Yes,63500,Ohio
1,Marketing,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Humanities,Humanities,White,Female,3.00 - 3.49,202020,2020,0,Cleveland,McDonald's,Consulting Marketing / Sales Operations / Procurement,,,Victoria's Secret,CNN / Turner Broadcasting,4,Oxford Medical Aesthetics and Laser,Hylant,4,accepted fulltime job,Yes,Yes,68000,OH
1,Finance,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Economics,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Chicago,Ernst & Young,"Analytics

 Consulting",,,,T. Marzetti,3,Ernst & Young,Whitehorn Partners,1,accepted fulltime job,Yes,Yes,58000,Ohio / USA
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201910,2019,0,,,,,,,,,,,,,,,,
1,Accountancy,none,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202120,2021,Cum Laude,Cleveland,EY,Accounting,,,,TravelCenters of America (TA),3,Ernst and Young (EY),TravelCenters of America (TA),1,accepted fulltime job,Yes,Yes,53000,OH
2,Finance,Marketing,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,Procter & Gamble,2,,CBTS,,,,,,
1,Finance,none,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,Accountancy,Accountancy,White,Female,3.50 - 4.00,201920,2019,Summa Cum Laude,New York City,JP Morgan,,,,,,,,,,accepted fulltime job,Yes,Yes,85000,NY
1,Supply Chain & Operations Mgmt,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Augusta,Textron Specialized Vehicles,Operations / Procurement,,,,Textron Specialized Vehicles,1,,,1,accepted fulltime job,Yes,Yes,58000,GA
1,Accountancy,none,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202120,2021,0,Chicago,EY,Accounting,,,,ITW Food Equitment Group,1,,,1,accepted fulltime job,Yes,Yes,62000,IL
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrepreneurship,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Los Angeles,,,,,,,2,,,1,seeking employment,,,,CA
1,Business Economics,none,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Entrepreneurship,No Minor,Unknown,Female,3.50 - 4.00,202020,2020,Cum Laude,,,,,,,"Inn at Bay Harbor, Marriott",2,,Steelcase,1,seeking employment,,,,
1,Accountancy,none,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,No Minor,No Minor,Unknown,Female,3.50 - 4.00,202120,2021,Cum Laude,Chicago,KPMG,,,,,KPMG,1,,,1,accepted fulltime job,,,,IL
1,Marketing,none,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,White,Female,2.50 - 2.99,202030,2020,0,,Duff & Phelps,,,,,Dfr Solutions,,Live Nation,Washington Nationals,,accepted fulltime job,,,,NY
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,2.00 - 2.49,201920,2019,0,,,,,,,Shree Carpet and Textile Mahal Ind Pvt ltd,2,,Antiquariat,1,seeking employment,,,,
1,Finance,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Interactive Media Studies,Interactive Media Studies,Black or African American,Male,3.00 - 3.49,201920,2019,0,Witchita,Textron,Accounting,,,,Unilever,1,,,1,accepted fulltime job,Yes,Yes,63000,KS
