nmajor,major1,major2,BBRJ,Business Direct Admit,Combined Bacc and Masters,Dean's List,First Generation College Stdnt,FSB Scholars,Honors Program,President's List,Study Abroad Courtesy Account,Transfer Work (Pre-Banner),Cum Laude,Magna Cum Laude,Summa Cum Laude,University Honors,UniversityHonors w/Distinction,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,year.x,latin_honors,survey_city,survey_company,survey_deptfunc,survey_gradprogram,survey_gradschool,survey_internfour,survey_internone,survey_internships,survey_internthree,survey_interntwo,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,new york,,Consulting,,,,,0,,,0,accepted fulltime job,Yes,Yes,,new york
1,Accountancy,none,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Chicago,Deloitte,,MAcc,,,Deloitte,1,,,,accepted fulltime job,,,62000,IL
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202020,2020,0,Minneapolis,E. & J. Gallo Winery,Marketing / Sales,,,,Smart Circle,1,,,2,accepted fulltime job,Yes,Yes,50000,MN
1,Marketing,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.00 - 2.49,201920,2019,0,Oxford,Asset Campus Housing,Marketing / Sales,,,,Cincinnati Reds,2,,Miami University,2,accepted fulltime job,Yes,Yes,29000,OH
1,Marketing,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202010,2020,0,,,,,,,,,,,,,,,,
1,Finance,none,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,202020,2020,Magna Cum Laude,,,,,Canisius College,,Haan Development,2,,Greenwich Capital Group,0,continuing education,,,,
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Magna Cum Laude,Chicago,Uber,,,,,RMG Networks,3,Coldwell Banker,Petra Title LLC,,accepted fulltime job,,,53000,IL
1,Management and Leadership,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,No Minor,White,Female,3.00 - 3.49,202020,2020,0,Lincolnshire,Alight Solutions,Human Resources,,,,VillageMD,2,,VillageMD,1,accepted fulltime job,No,Yes,53000,IL
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Charlotte,Vanguard,Finance,,,Textron Systems,Wealth Advocate Group,4,WealthPlan Partners,"John D. Brown, CPA, Inc.",1,accepted fulltime job,Yes,Yes,56000,NC
1,Human Capital Mgmt& Leadership,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Multi Racial,Female,3.00 - 3.49,202120,2021,0,,,,,,,,0,,,0,seeking employment,,,,
1,Finance,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,201920,2019,0,Buffalo,M&T Bank,,,,,M&T Bank,1,,,1,accepted fulltime job,Yes,,55000,NY
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202110,2021,0,Columbus,KPMG,Consulting,,,,Timeless Frames,3,Fifth Third Bank,Platinum Financial Services,2,accepted fulltime job,Yes,Yes,60000,OH
1,Marketing,none,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,No Minor,No Minor,White,Female,3.50 - 4.00,202120,2021,Magna Cum Laude,Atlanta,The Home Depot,,,,The Boston Consulting Group,,2,2,,2,accepted fulltime job,Yes,Yes,65000,GA
1,Finance,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,202020,2020,0,,,,,,,NYPPEX Private Markets,2,,ACP Investment Group,3,other,,,,
1,Finance,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Female,2.50 - 2.99,202110,2021,0,Covington,Fidelity Investments,,,,,Fifth Third Bank,3,Timeless Frames,Platinum Financial Services,,accepted fulltime job,,,45000,KY
1,Accountancy,none,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Female,3.00 - 3.49,202120,2021,0,Dallas,RSM,Accounting,,,,RSM,1,,,1,accepted fulltime job,Yes,Yes,59000,TX
1,Accountancy,none,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Marketing,No Minor,White,Female,3.50 - 4.00,201920,2019,Magna Cum Laude,Cleveland,Ernst and Young,Accounting,,,,"Ernst and Young, Assurance Intern",1,,,1,accepted fulltime job,Yes,Yes,51000,"OH, USA"
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,2.50 - 2.99,201920,2019,0,Chicago,The Chamberlain Group,Marketing / Sales,,,,Vanity Fair,2,,Chamberlain Group,3,accepted fulltime job,Yes,Yes,54000,Illinois
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,No Minor,White,Female,3.00 - 3.49,202120,2021,0,,,,,,,,0,,,0,seeking employment,,,,
1,Marketing,none,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Humanities,Humanities,Multi Racial,Female,3.50 - 4.00,202020,2020,Cum Laude,,,,,,,Sherwin Williams,1,,,0,seeking employment,,,,
1,Marketing,none,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Columbus,Abercrombie & Fitch,Marketing / Sales,,,,"Marketing Intern, Simposi",1,,,1,accepted fulltime job,Yes,No,62500,OH
1,Management and Leadership,none,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,Language,Language,White,Female,3.50 - 4.00,201920,2019,Summa Cum Laude,Washington,World Health Organization,,Doctor of Medicine,Harvard Medical School,,Jordan River Foundation,,,,,continuing education,,,,D.C.
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Arts Related,No Minor,White,Male,2.50 - 2.99,202120,2021,0,,,,Masters of Science in Business Analytics,Miami University,,National Liquidators,2,,Toney Capital Holdings,3,continuing education,,,,
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202120,2021,0,,,,,,,Vineyard Vines Retail Custom Merchandise,2,,Vineyard Vines Women Merchandise,0,seeking employment,,,,
2,Finance,Supply Chain & Operations Mgmt,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,201920,2019,0,,,,,,,Polaris Industries,,,,,,,,,
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Information Systems,No Minor,White,Male,3.50 - 4.00,202020,2020,Cum Laude,,,,,,,McCormick & Company,2,,PwC,,,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,Interactive Media Studies,White,Female,3.00 - 3.49,201920,2019,0,Chicago,CVS Health,"Accounting

 Finance",,,,Cheryl's Cookies,2,,Henkel,2,accepted fulltime job,Yes,Yes,54000,IL
1,Business Economics,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,John Deere,,,,,"IT Intern, Holmes Murphy",2,,"College Financial Advisor, Northwestern Mutual",0,accepted fulltime job,,,,
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,KeyBanc Capital Markets,,,,,KeyBanc Capital Markets,3,12 Doors Down,Cardinal Financial Advisers LLC,,accepted fulltime job,,,75000,
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Engineering/Science,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Chicago,CIBC,,,,,,1,,,2,accepted fulltime job,Yes,Yes,60000,IL
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Las Vegas,Cintas,,,,,Honda,2,,Bank Mizrahi,2,accepted fulltime job,Yes,Yes,50000,NV
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accountancy,No Minor,White,Female,3.00 - 3.49,202020,2020,0,Indianapolis,"Cummins, Inc.",Finance,,,,"Cummins, Inc.",1,,,1,accepted fulltime job,Yes,Yes,60000,IN
2,Business Economics,Marketing,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,Language,Language,White,Female,3.50 - 4.00,201920,2019,Magna Cum Laude,Cleveland,Insight2Profit,"Analytics

 Consulting",,,,,0,,,1,accepted fulltime job,Yes,Yes,58000,OH
1,Finance,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,PS America,1,,,0,seeking employment,,,,
1,Finance,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,Supply Chain Management,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,,,,,,,,,,
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,American Indian or Alaska Native,Female,3.00 - 3.49,201920,2019,0,Chicago,Coyote Logistics,Marketing / Sales,,,,TimkenSteel,1,,,1,accepted fulltime job,Yes,Yes,40000,Illinois
1,Marketing,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202020,2020,0,,,,,,,I.REISS CO.,3,Amazon web services,CoTrader,1,seeking employment,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Mangement and Leadership,Mangement and Leadership,Hispanic/Latino,Female,3.50 - 4.00,202120,2021,Cum Laude,,,,,,,Yark Automotive,2,,Becker Impressions,4,seeking employment,,,,
1,Supply Chain & Operations Mgmt,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Male,3.00 - 3.49,201915,2019,0,,,,,,,,,,,,,,,,
1,Accountancy,none,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,No Minor,No Minor,White,Male,3.50 - 4.00,201920,2019,Cum Laude,Milwaukee,Deloitte,Accounting,,,,Deloitte,2,,Schroeder Moving Systems,1,accepted fulltime job,Yes,Yes,53000,WI
1,Marketing,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,boston,Fairway Mortgage,Finance Marketing / Sales,,,,"real estate agent, boardwalk properties",2,,"marketing intern, boathouse group",2,accepted fulltime job,Yes,Yes,45000,MA
1,Supply Chain & Operations Mgmt,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Detroit,General Motors,"Analytics

 Logistics / Supply Chain

 Operations / Procurement",,,,Lexon Corp,2,,General Motors,3,accepted fulltime job,Yes,Yes,75000,"Michigan, Detroit"
2,Accountancy,Business Analytics,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Denver,PwC,,,,,Cardinal Health,2,,The Carmelite System,2,accepted fulltime job,Yes,Yes,55000,CO
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,202120,2021,0,,,,,,,,1,,,,seeking employment,,,,
1,Marketing,none,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202020,2020,Cum Laude,Columbus,JP Morgan Chase,,,,,Cleveland Research Company,2,,Lake Shore Insurance Agency,,accepted fulltime job,,,59000,OH
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,2.50 - 2.99,202030,2020,0,Durham,Nutanix,,,,,Avalution Consulting,1,,,,accepted fulltime job,,,,NC
1,Finance,none,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Economics,Economics,Hispanic/Latino,Male,3.00 - 3.49,202120,2021,0,,,,,,,Bacardi USA,3,Occam's Edge,AMC Fruits,0,seeking employment,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Interactive Media Studies,No Minor,Black or African American,Male,3.00 - 3.49,201920,2019,0,Chicago,Publicis Sapient,Marketing/Sales,,,,KPMG,3,Digitas,Publicis Groupe,4,accepted fulltime job,No,Yes,50000,IL
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Female,3.00 - 3.49,201920,2019,0,,,,,,,,0,,,0,seeking employment,,,,
1,Finance,none,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Business Analytics,Business Analytics,White,Female,3.50 - 4.00,202020,2020,Summa Cum Laude,Cincinnati,Fifth Third Bank,Analytics,,,,W.W. Grainger,2,,Miami University Center for Analytics and Data Science,3,accepted fulltime job,Yes,Yes,90000,OH
1,Supply Chain & Operations Mgmt,none,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,Language,Language,White,Female,3.50 - 4.00,202120,2021,Cum Laude,Chicago,McDonald's Corporation,Logistics / Supply Chain,,,,Shanghai Cascino Trading,2,,McDonald's Corporation,2,accepted fulltime job,Yes,Yes,64500,IL
1,Finance,none,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,Accountancy,Accountancy,White,Female,3.50 - 4.00,202120,2021,Magna Cum Laude,Chicago,RSM,Accounting Consulting Finance,,,,ReSource Pro,2,,The Mather Group,2,accepted fulltime job,Yes,Yes,66200,IL
1,Information Systems,none,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Language,Language,White,Female,3.50 - 4.00,201920,2019,Summa Cum Laude,Cincinnati,GE Aviation,Information Technology,,,"CADS - Oxford, OH","Blithfield - London, UK",4,"GE Aviation - Cincinnati, OH","HROne - Shanghai, China",2,accepted fulltime job,Yes,Yes,82000,OH
1,Supply Chain & Operations Mgmt,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Language,No Minor,White,Female,3.00 - 3.49,202020,2020,0,,,,,,,Free The Girls,2,,American Chamber of Commerce,2,seeking employment,,,,
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Information Security,No Minor,White,Male,3.50 - 4.00,202020,2020,Cum Laude,Columbus,KPMG,Consulting IT Assurance / IT Audit Information Technology,,,,Focus Logistics Solutions,3,Goodyear Tire & Rubber Company,Big Lots! Inc,2,accepted fulltime job,Yes,Yes,65000,OH
1,Marketing,none,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Language,Language,Black or African American,Female,2.50 - 2.99,202020,2020,0,,,,,,,Empowered Acquisitions,3,AGAR,Union Mini Mart,0,seeking employment,,,,
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,International Business,International Business,White,Male,3.00 - 3.49,202120,2021,0,Cincinnati,G3 Marketing,,,,,Toledo Mud Hens,2,Ireland Lacrosse,Miami University Athletic Department (Marketing),2,accepted fulltime job,,,40000,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mangement and Leadership,No Minor,White,Female,3.00 - 3.49,202020,2020,0,Cincinnati,Target,,,,,Target,2,,Moocho,,accepted fulltime job,,,64000,OH
1,Marketing,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,201910,2019,0,,,,,,,,,,,,,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Chicago,SThree,"Human Resources

 Marketing / Sales",,,,Dakota Software,1,,,3,accepted fulltime job,Yes,Yes,40000,IL
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,2020,Magna Cum Laude,Dallas,DHL,Analytics General Management Logistics / Supply Chain Operations / Procurement,,,,Chick-fil-A,3,DHL Supply Chain,Textron Systems,1,accepted fulltime job,Yes,Yes,52500,TX
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Columbus,TQL,Marketing / Sales,,,,Lendkey Technologies,1,,,1,accepted fulltime job,No,Yes,,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Asian,Male,3.00 - 3.49,202120,2021,0,,,,,,,,3,,,,accepted fulltime job,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Indianpolis,PFL - Orr Fellowship,Marketing / Sales,,,,Needle's Eye Media,2,,YOUHANGIT,1,accepted fulltime job,Yes,Yes,50000,Indiana
1,Accountancy,none,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Columbus,Nationwide,"Accounting

 Finance",,,,Nationwide,1,,,1,accepted fulltime job,Yes,Yes,67500,Ohio
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marketing,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Columbus,Clearsulting,Consulting,,,,PNC Financial Services Group,1,,,4,accepted fulltime job,Yes,Yes,50000,OH
2,Accountancy,Finance,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Information Systems,Math/Stat,White,Male,3.50 - 4.00,202020,2020,Cum Laude,Cincinnati,Deloitte,Accounting Finance,,,,"Deloitte & Touche, LLP",1,,,0,accepted fulltime job,Yes,Yes,52000,OH
2,Management and Leadership,Supply Chain & Operations Mgmt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Minneapolis,Medtronic,E&J Gallo,,,T3 Performance,,4,4,,1,accepted fulltime job,Yes,Yes,60500,Minnesota
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,202110,2021,0,,,,,,,Peak Properties,1,,,,accepted fulltime job,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Language,No Minor,White,Female,3.00 - 3.49,201920,2019,0,,,,,,,Old Cape Sotheby's,1,,,0,seeking employment,,,,
1,Human Capital Mgmt& Leadership,none,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202120,2021,Cum Laude,Columbus,Huntington National Bank,Human Resources,,,,Covetrus,2,,Huntington bank,1,accepted fulltime job,Yes,Yes,53000,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,International Business,No Minor,Non-Resident Alien,Male,2.50 - 2.99,201920,2019,0,,,,,,,Grupo Condumex,,,Timberlacq,,,,,,
2,Accountancy,Finance,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,No Minor,No Minor,Black or African American,Male,3.50 - 4.00,202020,2020,Cum Laude,Seattle,Microsoft,Accounting Finance,,,,Ernst & Young - Launch Internship,2,,Ernst & Young - Consulting Internship,4,accepted fulltime job,Yes,Yes,85000,WA
1,Accountancy,none,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,202120,2021,Magna Cum Laude,Cincinnati,EY,Accounting,,,,Ernst & Young,1,,,1,accepted fulltime job,Yes,Yes,53000,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Asian,Female,2.00 - 2.49,201930,2019,0,,,,,,,HDFC Bank,1,,,0,seeking employment,,,,
1,Business Economics,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Political Science,No Minor,White,Male,2.00 - 2.49,202010,2020,0,Washington D.C,Booz Allen Hamilton,Consulting,,,,NRPA,2,,Booz Allen Hamilton,0,accepted fulltime job,Yes,Yes,61700,Washington D.C/United States
1,Marketing,none,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202120,2021,0,Chicago,Coyote Logistics,Marketing / Sales,,,,"Digital Marketing Intern, VECTRE",1,,,1,accepted fulltime job,Yes,Yes,45000,IL
1,Finance,none,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202020,2020,Magna Cum Laude,Charlotte,Florida Panthers,Other: Professional Athletics,,,,,0,,,10,accepted fulltime job,Yes,Yes,70000,NC
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,Lifestyle Communities,1,,,,,,,,
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Chicago,OMD USA,,,,,BUICED,,,Belltower Education Solutions,,accepted fulltime job,,,50000,IL
1,Information Systems,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Chicago,Origami Risk,,,,,Origami Risk,2,,Miami University,,accepted fulltime job,,,,IL
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Denver,Integro,,,,,Clear Process Solutions,1,,,0,accepted fulltime job,,,,CO
