"","nmajor","major1","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","double_major"
"399",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"Marketing","No Minor","White","Female","3.00 - 3.49",2020,"0","Pittsburgh","PNC Financial Services","Finance",NA,NA,"3","1","accepted fulltime job","Yes","Yes",60000,"No Double Major"
"400",1,"Finance",1,0,0,0,0,0,0,0,0,0,0,"Language","No Minor","White","Male","3.50 - 4.00",2019,"Cum Laude",NA,NA,NA,NA,NA,NA,NA,"seeking employment",NA,NA,NA,"No Double Major"
"401",1,"Marketing",0,0,0,0,0,0,0,0,0,0,0,"Engineering/Science","No Minor","Unknown","Female","3.00 - 3.49",2019,"0","Stamford","MKDA",NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
"402",1,"Finance",0,1,0,1,1,0,0,0,0,0,0,"Language","Language","White","Male","3.50 - 4.00",2019,"Cum Laude","Chicago","Societe Generale","Finance

 Operations / Procurement",NA,NA,"2","1","accepted fulltime job","Yes","Yes",70000,"No Double Major"
"403",1,"Finance",0,1,0,0,0,0,0,0,1,1,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0",NA,"TQL",NA,NA,NA,"1","1","accepted fulltime job","Yes","Yes",65000,"No Double Major"
"404",1,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2019,"0","Boston","Deloitte","Accounting",NA,NA,"1","1","accepted fulltime job","Yes","Yes",59000,"No Double Major"
"405",1,"Supply Chain & Operations Mgmt",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2019,"0","Kalamazoo","Parker Hannifin","Logistics / Supply Chain",NA,NA,"1","3","accepted fulltime job","Yes","Yes",60000,"No Double Major"
"406",1,"Finance",0,1,0,0,1,0,0,0,0,0,0,"Accountancy","Accountancy","Hispanic/Latino","Male","2.50 - 2.99",2020,"0","Louisville","PNC Financial Services","Finance",NA,NA,"1","1","accepted fulltime job","Yes","No",60000,"No Double Major"
"407",1,"Finance",0,1,0,1,0,0,0,0,0,0,0,"Political Science","Political Science","White","Male","3.00 - 3.49",2020,"0","Elkhart","Genesis Products","Accounting Human Resources Logistics / Supply Chain Operations / Procurement",NA,NA,"2","1","accepted fulltime job","No","Yes",52500,"No Double Major"
"408",1,"Marketing",0,0,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","White","Female","3.00 - 3.49",2019,"0","Cleveland","Macy's","General Management",NA,NA,"2","2","accepted fulltime job","Yes","Yes",55000,"No Double Major"
"409",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,1,0,0,1,0,"Marketing","Marketing","White","Male","3.50 - 4.00",2021,"Cum Laude",NA,NA,NA,"Software Engineering","Miami University","2","2","continuing education",NA,NA,NA,"No Double Major"
"410",2,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",2020,"Cum Laude","Detroit","Boston Consulting Group (BCG)","Consulting",NA,NA,"2","3","accepted fulltime job","Yes","Yes",90000,"Double Major"
"411",1,"Accountancy",0,1,1,1,0,0,0,0,0,0,0,"Information Systems","Information Systems","White","Male","3.50 - 4.00",2020,"Cum Laude","Cincinnati","PwC","Accounting IT Assurance / IT Audit","MAcc",NA,"1","1","accepted fulltime job","Yes","Yes",51000,"No Double Major"
"412",1,"Supply Chain & Operations Mgmt",1,0,0,0,0,0,0,0,0,1,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0","Blue ash","Kroger","Operations / Procurement",NA,NA,"2","2","accepted fulltime job","Yes","Yes",NA,"No Double Major"
"413",1,"Marketing",0,1,0,1,0,0,1,0,0,0,0,"Mangement and Leadership","Mangement and Leadership","White","Female","3.50 - 4.00",2019,"0","Chicago","Coyote logistics","Logistics / Supply Chain",NA,NA,"0","1","accepted fulltime job","No","Yes",40000,"No Double Major"
"414",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,"Business Analytics","No Minor","White","Male","3.00 - 3.49",2021,"0","Akron","Amazon","General Management",NA,NA,"0","2","accepted fulltime job","Yes","Yes",52000,"No Double Major"
"415",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Supply Chain Management","No Minor","White","Female","3.00 - 3.49",2021,"0","Columbus","Abercrombie & Fitch","Other: Merchandising",NA,NA,"2","1","accepted fulltime job","Yes","Yes",62000,"No Double Major"
"416",1,"Marketing",0,1,0,1,0,0,1,0,1,1,0,"No Minor","No Minor","White","Female","3.50 - 4.00",2021,"Summa Cum Laude","Cincinnati","Deloitte Consulting","Consulting",NA,NA,"3","1","accepted fulltime job","Yes","No",80000,"No Double Major"
"417",1,"Finance",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"Cum Laude",NA,NA,NA,NA,NA,NA,NA,"seeking employment",NA,NA,NA,"No Double Major"
"418",2,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",2020,"Cum Laude","Chicago","The Hackett Group","Consulting",NA,NA,"3","3","accepted fulltime job","Yes","Yes",73000,"Double Major"
"419",1,"Business Economics",0,1,0,0,0,0,0,0,0,0,0,"Math/Stat","No Minor","White","Male","3.00 - 3.49",2019,"0","Cleveland","Progressive Insurance",NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
"420",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0","Chicago","TQL","Logistics / Supply Chain",NA,NA,"0","2","accepted fulltime job","Yes","Yes",35000,"No Double Major"
"421",1,"Information Systems",1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2019,"0","Columbus","EY","Consulting",NA,NA,NA,NA,"accepted fulltime job","Yes","Yes",57000,"No Double Major"
"422",1,"Finance",1,1,0,1,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",2019,"Magna Cum Laude","Boston","Accenture","Consulting",NA,NA,"3","1","accepted fulltime job","Yes","Yes",80000,"No Double Major"
"423",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",2021,"0",NA,NA,NA,NA,NA,"2","0","seeking employment",NA,NA,NA,"No Double Major"
"424",1,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0","Chicago","RSM","Accounting Consulting",NA,NA,"2","1","accepted fulltime job","Yes","Yes",64600,"No Double Major"
